train_MulticlassAccuracy,train_MulticlassPrecision,train_MulticlassRecall,epoch,step,test_MulticlassAccuracy,test_MulticlassPrecision,test_MulticlassRecall
0.96875,0.9833333492279053,0.96875,31,3399,,,
0.75,0.75,0.75,31,3449,,,
1.0,1.0,1.0,32,3499,,,
1.0,1.0,1.0,32,3549,,,
0.75,0.75,0.75,33,3599,,,
1.0,1.0,1.0,33,3649,,,
0.75,0.75,0.75,33,3699,,,
0.75,0.75,0.75,34,3749,,,
0.75,0.75,0.75,34,3799,,,
0.75,0.75,0.75,35,3849,,,
0.5,0.5,0.5,35,3899,,,
0.75,0.75,0.75,36,3949,,,
0.75,0.75,0.75,36,3999,,,
1.0,1.0,1.0,37,4049,,,
1.0,1.0,1.0,37,4099,,,
0.7361111044883728,0.7272727489471436,0.7361111044883728,38,4149,,,
0.75,0.75,0.75,38,4199,,,
0.9772727489471436,0.9166666865348816,0.9772727489471436,38,4249,,,
0.75,0.75,0.75,39,4299,,,
0.8880952596664429,0.90625,0.8880952596664429,39,4349,,,
1.0,1.0,1.0,40,4399,,,
1.0,1.0,1.0,40,4449,,,
0.75,0.75,0.75,41,4499,,,
1.0,1.0,1.0,41,4549,,,
0.75,0.75,0.75,42,4599,,,
1.0,1.0,1.0,42,4649,,,
1.0,1.0,1.0,43,4699,,,
1.0,1.0,1.0,43,4749,,,
0.987500011920929,0.96875,0.987500011920929,44,4799,,,
1.0,1.0,1.0,44,4849,,,
1.0,1.0,1.0,44,4899,,,
0.734375,0.7142857313156128,0.734375,45,4949,,,
0.75,0.75,0.75,45,4999,,,
1.0,1.0,1.0,46,5049,,,
1.0,1.0,1.0,46,5099,,,
1.0,1.0,1.0,47,5149,,,
1.0,1.0,1.0,47,5199,,,
0.75,0.75,0.75,48,5249,,,
0.75,0.75,0.75,48,5299,,,
0.75,0.75,0.75,49,5349,,,
0.75,0.75,0.75,49,5399,,,
0.75,0.75,0.75,49,5449,,,
,,,50,5450,0.8151516914367676,0.796949565410614,0.8151516914367676
