train_MulticlassAccuracy,train_MulticlassPrecision,train_MulticlassRecall,epoch,step,test_MulticlassAccuracy,test_MulticlassPrecision,test_MulticlassRecall
0.3761904835700989,0.28985506296157837,0.3761904835700989,0,49,,,
0.37254902720451355,0.2958333492279053,0.37254902720451355,0,99,,,
0.4431818127632141,0.390350878238678,0.4431818127632141,1,149,,,
0.4375,0.38333332538604736,0.4375,1,199,,,
0.605654776096344,0.53125,0.605654776096344,2,249,,,
0.49642857909202576,0.5777512192726135,0.49642857909202576,2,299,,,
0.5387820601463318,0.5083333253860474,0.5387820601463318,3,349,,,
0.5476190447807312,0.5297619104385376,0.5476190447807312,3,399,,,
0.550595223903656,0.5710227489471436,0.550595223903656,4,449,,,
0.6279761791229248,0.6541666984558105,0.6279761791229248,4,499,,,
0.6354166865348816,0.6409722566604614,0.6354166865348816,5,549,,,
0.6309524178504944,0.675000011920929,0.6309524178504944,5,599,,,
0.6736111044883728,0.6736111044883728,0.6736111044883728,5,649,,,
0.6027777791023254,0.5934659242630005,0.6027777791023254,6,699,,,
0.7142857313156128,0.7142857313156128,0.7142857313156128,6,749,,,
0.6000000238418579,0.6682692170143127,0.6000000238418579,7,799,,,
0.6875,0.6906565427780151,0.6875,7,849,,,
0.75,0.7083333134651184,0.75,8,899,,,
0.75,0.71875,0.75,8,949,,,
0.71875,0.737500011920929,0.71875,9,999,,,
0.71875,0.7361111044883728,0.71875,9,1049,,,
1.0,1.0,1.0,10,1099,,,
0.9444444179534912,0.9495798349380493,0.9444444179534912,10,1149,,,
0.6428571343421936,0.6166666746139526,0.6428571343421936,11,1199,,,
0.96875,0.9861111044883728,0.96875,11,1249,,,
1.0,1.0,1.0,11,1299,,,
0.7250000238418579,0.699999988079071,0.7250000238418579,12,1349,,,
1.0,1.0,1.0,12,1399,,,
1.0,1.0,1.0,13,1449,,,
1.0,1.0,1.0,13,1499,,,
0.9365079402923584,0.9565972089767456,0.9365079402923584,14,1549,,,
0.625,0.7103174328804016,0.625,14,1599,,,
0.75,0.75,0.75,15,1649,,,
0.7222222089767456,0.7222222089767456,0.7222222089767456,15,1699,,,
0.6517857313156128,0.6736111044883728,0.6517857313156128,16,1749,,,
0.7083333134651184,0.7291666865348816,0.7083333134651184,16,1799,,,
1.0,1.0,1.0,16,1849,,,
0.699999988079071,0.7236841917037964,0.699999988079071,17,1899,,,
1.0,1.0,1.0,17,1949,,,
0.75,0.75,0.75,18,1999,,,
0.75,0.75,0.75,18,2049,,,
0.75,0.75,0.75,19,2099,,,
0.7222222089767456,0.71875,0.7222222089767456,19,2149,,,
1.0,1.0,1.0,20,2199,,,
0.7272727489471436,0.75,0.7272727489471436,20,2249,,,
0.6875,0.738095223903656,0.6875,21,2299,,,
1.0,1.0,1.0,21,2349,,,
0.96875,0.96875,0.96875,22,2399,,,
0.875,0.96875,0.875,22,2449,,,
0.75,0.75,0.75,22,2499,,,
0.7083333134651184,0.75,0.7083333134651184,23,2549,,,
1.0,1.0,1.0,23,2599,,,
0.7222222089767456,0.71875,0.7222222089767456,24,2649,,,
0.75,0.75,0.75,24,2699,,,
0.699999988079071,0.737500011920929,0.699999988079071,25,2749,,,
1.0,1.0,1.0,25,2799,,,
0.949999988079071,0.9722222089767456,0.949999988079071,26,2849,,,
0.75,0.75,0.75,26,2899,,,
1.0,1.0,1.0,27,2949,,,
0.75,0.75,0.75,27,2999,,,
0.9583333134651184,0.9583333134651184,0.9583333134651184,27,3049,,,
0.75,0.75,0.75,28,3099,,,
1.0,1.0,1.0,28,3149,,,
1.0,1.0,1.0,29,3199,,,
1.0,1.0,1.0,29,3249,,,
0.7361111044883728,0.675000011920929,0.7361111044883728,30,3299,,,
0.8809524178504944,0.925000011920929,0.8809524178504944,30,3349,,,
