train_MulticlassAccuracy,train_MulticlassPrecision,train_MulticlassRecall,epoch,step,test_MulticlassAccuracy,test_MulticlassPrecision,test_MulticlassRecall
1.0,1.0,1.0,16,1749,,,
1.0,1.0,1.0,16,1799,,,
0.75,0.75,0.75,16,1849,,,
1.0,1.0,1.0,17,1899,,,
0.75,0.75,0.75,17,1949,,,
0.75,0.75,0.75,18,1999,,,
0.7250000238418579,0.7083333134651184,0.7250000238418579,18,2049,,,
1.0,1.0,1.0,19,2099,,,
1.0,1.0,1.0,19,2149,,,
0.75,0.75,0.75,20,2199,,,
0.75,0.75,0.75,20,2249,,,
0.9868420958518982,0.9722222089767456,0.9868420958518982,21,2299,,,
0.75,0.75,0.75,21,2349,,,
0.71875,0.699999988079071,0.71875,22,2399,,,
0.7142857313156128,0.7142857313156128,0.7142857313156128,22,2449,,,
0.7045454382896423,0.6666666865348816,0.7045454382896423,22,2499,,,
0.7386363744735718,0.6875,0.7386363744735718,23,2549,,,
1.0,1.0,1.0,23,2599,,,
0.9736841917037964,0.9285714626312256,0.9736841917037964,24,2649,,,
0.9333333373069763,0.9154135584831238,0.9333333373069763,24,2699,,,
0.7250000238418579,0.6875,0.7250000238418579,25,2749,,,
0.75,0.75,0.75,25,2799,,,
1.0,1.0,1.0,26,2849,,,
0.75,0.75,0.75,26,2899,,,
0.75,0.75,0.75,27,2949,,,
0.71875,0.7272727489471436,0.71875,27,2999,,,
0.984375,0.9750000238418579,0.984375,27,3049,,,
1.0,1.0,1.0,28,3099,,,
0.75,0.75,0.75,28,3149,,,
1.0,1.0,1.0,29,3199,,,
0.75,0.75,0.75,29,3249,,,
0.75,0.75,0.75,30,3299,,,
1.0,1.0,1.0,30,3349,,,
0.7142857313156128,0.7368420958518982,0.7142857313156128,31,3399,,,
0.75,0.75,0.75,31,3449,,,
0.75,0.75,0.75,32,3499,,,
1.0,1.0,1.0,32,3549,,,
0.7368420958518982,0.7083333134651184,0.7368420958518982,33,3599,,,
1.0,1.0,1.0,33,3649,,,
1.0,1.0,1.0,33,3699,,,
1.0,1.0,1.0,34,3749,,,
0.75,0.75,0.75,34,3799,,,
0.75,0.75,0.75,35,3849,,,
0.75,0.75,0.75,35,3899,,,
0.75,0.75,0.75,36,3949,,,
1.0,1.0,1.0,36,3999,,,
1.0,1.0,1.0,37,4049,,,
0.75,0.75,0.75,37,4099,,,
0.75,0.75,0.75,38,4149,,,
1.0,1.0,1.0,38,4199,,,
0.75,0.75,0.75,38,4249,,,
0.7142857313156128,0.737500011920929,0.7142857313156128,39,4299,,,
1.0,1.0,1.0,39,4349,,,
0.6071428656578064,0.7083333134651184,0.6071428656578064,40,4399,,,
1.0,1.0,1.0,40,4449,,,
0.75,0.75,0.75,41,4499,,,
0.75,0.75,0.75,41,4549,,,
0.75,0.75,0.75,42,4599,,,
0.75,0.75,0.75,42,4649,,,
0.75,0.75,0.75,43,4699,,,
0.75,0.75,0.75,43,4749,,,
0.75,0.75,0.75,44,4799,,,
1.0,1.0,1.0,44,4849,,,
0.75,0.75,0.75,44,4899,,,
1.0,1.0,1.0,45,4949,,,
0.75,0.75,0.75,45,4999,,,
1.0,1.0,1.0,46,5049,,,
0.949999988079071,0.9861111044883728,0.949999988079071,46,5099,,,
1.0,1.0,1.0,47,5149,,,
0.737500011920929,0.7083333134651184,0.737500011920929,47,5199,,,
1.0,1.0,1.0,48,5249,,,
0.75,0.75,0.75,48,5299,,,
0.75,0.75,0.75,49,5349,,,
0.75,0.75,0.75,49,5399,,,
0.75,0.75,0.75,49,5449,,,
,,,50,5450,0.8163646459579468,0.8105390667915344,0.8163646459579468
