train_MulticlassAccuracy,train_MulticlassPrecision,train_MulticlassRecall,epoch,step,test_MulticlassAccuracy,test_MulticlassPrecision,test_MulticlassRecall
0.8538461923599243,0.8919753432273865,0.8538461923599243,4,49,,,
1.0,1.0,1.0,9,99,,,
1.0,1.0,1.0,13,149,,,
1.0,1.0,1.0,18,199,,,
1.0,1.0,1.0,22,249,,,
1.0,1.0,1.0,27,299,,,
1.0,1.0,1.0,31,349,,,
1.0,1.0,1.0,36,399,,,
1.0,1.0,1.0,40,449,,,
0.6666666865348816,0.6666666865348816,0.6666666865348816,45,499,,,
0.6666666865348816,0.6666666865348816,0.6666666865348816,49,549,,,
,,,50,550,0.44809672236442566,0.4983423948287964,0.44809672236442566
